Sarah,Don't look at him.,
,,
Nomi,There's nothing safe about this place.,
,,
Nurse,We are trying to help you.,
,,
,I know that you cannot,
,"understand that right now,",
,,
,but that's because you're unwell.,
,,
Nomi,How can this be legal?,
,,
Nurse,I need you to get back into your bed.,
,,
Nomi,I can't believe that this is,
,happening to me in the 21st century.,
,,
Nurse,Dr. Metzger needs you,
,on this medication...,
,,
Nomi,This is like some,
,crazy witch-burning shit.,
,,
Nurse,...twenty-four hours,
,before your surgery.,
,,
Nomi,"No, I told you,",
,I won't take any medication.,
,,
Nurse,"I've been instructed to use force,",
,"Nomi, if you will not cooperate.",
,,
Nomi,"No. No, no. No.",
,,
,No.,
,,1
Lito,How long do you think,
,you'll need to stay with us?,
,,
Daniela,As long as it takes for things,
,between Joaquin and me to cool down.,
,,
Lito,Joaquin? That's the guy?,
,,
,What about the best friend?,
,Where is he?,
,,
Daniela,He and Joaquin... had words.,
,,
Lito,They had words?,
,,
Daniela,And now I think he's in San Diego.,
,,
Lito,"""They had words.""",
,,
,"In a movie, that would mean",
,someone is in the hospital.,
,,
Daniela,"This isn't a movie, Lito.",
,,
Lito,"So, you said Joaquin",
,was a friend of your family.,
,,
Daniela,He worked for my father,
,for a long time.,
,,
Lito,What does your father do?,
,,
Daniela,Import/export.,
,,
Lito,What does he import/export?,
,,
Daniela,"Stuff people want, I guess.",
,,
Lito,How serious was this thing,
,between you and Joaquin?,
,,
Daniela,It started my last year,
,at university in San Diego.,
,,
,He'd call me every time,
,"he was in town,",
,,
,"and at first, it was fun, casual.",
,,
,"But then he got serious, and...",
,,
,My turn.,
,,
,"So, how did you pick me to be your beard?",
,,
Lito,My agent showed me your head shot.,
,,
Daniela,Aw!,
,,
,You liked my head shot?,
,,
Lito,It was between you and Gloria Sanchez.,
,,
Daniela,Gloria Sanchez?,
Lito,Yeah.,
,,
Daniela,That skank?,
,,
Lito,Yes.,
,,
Daniela,And what was the tiebreaker?,
,,
Lito,Hernando.,
,,
,He thought you had kind eyes.,
,,
,Said we'd make a better couple.,
,,
Daniela,He's not the only one.,
,,
Lito,Are you enjoying this?,
,,
Daniela,Are you kidding?,
,This is the best part I've ever had.,
,,1
Mi-Cha,"Please, Sun,",
,take care of your brother.,
,,
,Do this for me.,
,,
Sarah,Help me.,
,,
,"Help me, Will.",
,,
Secretary,Ms. Bak?,
,,
,I have Mr. Jeong from Seoul Citibank,
,on the line again.,
,,
,He sounded very upset.,
,,
,He told me to tell you,
,that if you don't pick up the phone...,
,,
,his next call will have to be,
,to the authorities.,
,,
Sun,I need to speak with my father.,
,,
Secretary,"Yes, I know, Ms. Bak.",
,I have left messages for him.,
,,
,He has not returned.,
,,
Sun,Tell me where he is,
,and I'll go to him.,
,,
Secretary,"I can't do that,",
,because I don't know where he is.,
,,
,Do you want to leave another message?,
Sun,A message?,
,,1
Bambie,"You're coming with me, aren't you?",
,,
Shugs,Riley!,
Riley,Hey.,
,,
Shugs,"Hello, my love.",
,,
,"Riley, Bambie. Bambie, Riley.",
Bambie,Hi.,
,,
Shugs,"This is, um... this is the one",
,I was telling you about.,
,,
Bambie,Right! You're a DJ.,
,,
,"Yeah, you work with Shugs.",
Shugs,"No, no, not a DJ, the DJ.",
,,
,Best I ever saw. It was amazing.,
Bambie,Ah!,
,,
Riley,"Uh, listen, I could use some help.",
,,
Shugs,Yeah.,
,,
,"Aw, looks like you could use a pint,",
,to start.,
,,
Riley,Yeah.,
Shugs,You all right?,
,,
Riley,Mm-hm.,
Shugs,Come on then.,
,,
Bambie,You sure you're all right?,
,,1
Presenter,"You see, the problem is",
,that they look exactly the same.,
,,
,They come in the same package.,
,,
,They have the same identifying features.,
Devi,What are you doing here? Are you mad?,
,,
Kala,What?,
Presenter,"To the naked eye,",
,,
,no different from the real thing.,
Devi,Your wedding is in two days.,
,,
Kala,"I'm getting married, not lobotomized.",
,,
Presenter,The packaging is coated,
,in quality control.,
,,
Devi,If I was marrying that man...,
,,
Presenter,We believe the counterfeiters...,
Devi,...I'd let him lobotomize me all day.,
,,
Presenter,work within companies,
,like yours...,
,,
,often substituting,
,counterfeit drugs for the real ones...,
,,
,sometimes just cutting the dose,
,to cut costs.,
,,
,But these tampered-with drugs,
,are killing people,
,,
,who are not getting,
,the proper medication.,
,,1
Capheus,"You know, maybe it is not a good idea.",
Jela,"No, you have to trust me.",
,,
,These are my people.,
,We speak the same language.,
,,
,"Supply, demand, gross, net.",
,,
,"Bottom line, give me your money.",
Capheus,What?,
,,
Jela,"Give me your money, unless you want your",
,mother to spend another night in pain.,
,,
Jela,"Yes. One, two, three, four, five...",
,Eight? Eight hundred bob?,
,,
,I do love a challenge.,
,,
,Whoo!,
,,
,"Hey, hi, my friend.",
,,
,"And how is it going, Mr...?",
,,
Mr. Fuck Off,Fuck off.,
Jela,"Oh, you're Mr. Fuck Off.",
,,
,I mistook you for someone,
,who wants to make some money.,
,,
Mr. Fuck Off,What I sell here you can't afford.,
,,
Jela,"Oh, is that true? Wait. Phone.",
,,
,"Uh, who's calling?",
,,
,Oh. Yeah?,
,,
,What?,
,,
,"No, I'm here now.",
,,
,"No, you gave this address.",
,,
,"Yes. No, this... Construction site down...",
,,
,"Come on, G.",
,,
,"Sorry, guys, wrong place. Let us go.",
,,
,I thought this was Gorgo's.,
Mr. Fuck Off,Gorgo? That guy's merch is shit.,
,,
Jela,Is that true?,
,He said that your shit's totally cut.,
,,
Mr. Fuck Off,Fuck him. I sell the cleanest drugs,
,in the whole of Nairobi.,
,,
,Everybody knows it.,
,,
Jela,"Sure, Fuck Off, whatever you say.",
,,
Mr. Fuck Off,"Come, what do you need?",
,,
Jela,"Well, uh...",
Capheus,My mother is sick with AIDS,
,,
,and the medicine she's taking,
,is making her sicker.,
,,
Mr. Fuck Off,AIDS medicine don't make people sick.,
,,
,It's counterfeit and watered-down,
,medicine that has side effects.,
,,
,"Cramps, diarrhea, pain. Mostly pain.",
,,
,"She needs Lortab, Norco.",
,But this is very expensive.,
,,
,Cheaper to let her die.,
,,
Capheus,Fuck...,
Jela,"Whoa, whoa, whoa. Hey, relax.",
,,
,"Hey. No, relax. Easy, easy.",
,,
,"Wait, wait, wait, wait,",
,some of his jokes.,
,,
,Just relax. Relax!,
,,
,How much for the Norco?,
,,
Mr. Fuck Off,Twenty-five.,
Jela,What?,
,,
,Gorgo's got it online,
,for half that price.,
,,
,Let's go.,
Mr. Fuck Off,"Hey, hey. Wait, wait, wait, wait.",
,,
,Ten-fifty.,
Jela,Six-fifty.,
,,
Mr. Fuck Off,Are you trying to fuck with me?,
Jela,"Fuck, Mr. Fuck Off?",
,,
Mr. Fuck Off,"OK, nine.",
Jela,Eight.,
,,
Mr. Fuck Off,Deal.,
,,
,My money.,
,,
Jela,Why don't you pick it up yourself,
,and uh... fuck off?,
,,1
Bambie,Should try what I did,
,when me and my ex broke up.,
,,
,I snuck into our flat,
,and put super glue on the toilet seat.,
,,
,Firemen had to come,
,and cut him away from the loo.,
,,
,Fucking cunt hobbled,
,to the emergency room,
,,
,with half the dunny,
,hanging off his ass.,
,,
Shugs,"Don't mind Bambie, Riley.",
,She can be a bit forward.,
,,
,I actually think she's got,
,a touch of Asperger's.,
,,
Bambie,Asperger's?,
,,
,I don't have Asperger's.,
,,
,I'm fuckin' Australian.,
,,
,Whose side are you on?,
,He threw her out on the street.,
,,
Shugs,"Look, I never fancied ol' Jacko.",
,,
,He was a dickhead.,
,You do deserve better.,
,,1
Nun,"Tino! Tino, please!",
,,
,Don't do this! Please.,
,,
,"Please, don't go in there.",
Lito,I must.,
,,
Nun,"Please, I beg of...",
Lito,I must.,
,,
,My destiny is a bullet.,
,,
,The one I put in him or the one...,
,,
,he puts in me.,
,,
Director,And that's a cut!,
,,
,Eh! Very nice! Yes!,
,,
,"Lito, beautiful.",
,,
,"Thank you very much, eh? OK.",
,,
Lito,Are you sure you got it?,
Director,Yes.,
,,
Lito,"Can I do one more, please?",
,,
,"I was thinking, should I be playing here",
,that she's gonna betray me?,
,,
Director,"No, you don't know. How could you know?",
,,
Lito,"Listen, listen... I know.",
,,
,I think my character might feel it.,
,,
Director,The audience doesn't know.,
,The audience is with you. They are you.,
,,
,"When you know, they know.",
,,
Lito,But I do know.,
,,1
Shugs,"Know what, love?",
,,
Riley,Nothing.,
,,1
Director,You gotta go through that door.,
,,
,There's nowhere else for you to go.,
,,
,"Now, walk with me.",
,There's someone you need to meet.,
,,1
Shugs,"Um, welcome to my humble abode.",
,El palacio el Shugsio.,
,,1
Director,"So, Lito, this is Mr. Flores.",
,,
Joaquin,Please... call me Joaquin.,
,,
Lito,Joaquin?,
,,
,How do you guys know each other?,
,,
Joaquin,I'm a really good friend,
,of Mr. Moreno.,
,,
Director,"You know, the guy who signs our checks?",
,,
,He wants to take you out to lunch.,
,,
,"Between us, he's a big fan.",
,,
Joaquin,I've watched The Passion of the Sinner,
,a thousand times.,
,,
,"And if it's on,",
,I always watch it till the end.,
,,
,You're my hero.,
,,1
Shugs,Do you know what Mitchie said about you?,
,,
,"He says, ""Shugs,",
,there's two reasons to go to Iceland:,
,,
,"the aurora borealis, and Riley Blue.",
,,
,One is a natural phenomenon,
,"so beautiful it will blow your mind,",
,,
,and the other is just,
,"some pretty lights in the sky.""",
,,
Riley,"Thanks, Shugs.",
,,
Bambie,You're from Iceland?,
,,
Shugs,Do you miss it?,
,,
Riley,I miss my dad.,
,,
,He's a pianist.,
,,
,I miss listening to him practice.,
,,
Shugs,"Mm. My dad was a drunk,",
,,
,and I miss the way we'd find him sleeping,
,in a different place every morning.,
,,
Bambie,"Chip off the old block, this one.",
,,
Shugs,What else?,
,,
Riley,I miss the winter.,
,,
,Just so quiet and still...,
,,
,you can hear your own heart beat.,
,,
Bambie,I'd go balmy in so much darkness.,
,,
Riley,"Actually, most Icelanders go crazy",
,in the spring when the sun comes back.,
,,
,I know so many people who,
,tried to kill themselves in the spring.,
,,
Bambie,That when you tried?,
,,
,"Sorry, love. Australian.",
,,
Shugs,"Hey, Riles... look.",
,,
,Every time I wake up in hospital and,
,"someone tells me I'm lucky to be alive,",
,,
,I get another one.,
,,
,"Riley, anyone watching",
,"what really goes on in this world,",
,,
,how fucked up it all is...,
,,
,"like... checking out,",
,"temporarily, permanently...",
,,
,"my darling, it is the only choice",
,that makes any sense.,
,,1
Sun,I'll walk.,
,,1
Joaquin,"What you actors do, playing all those",
,"different people, is amazing.",
,,
Lito,"Actors are just good liars, Joaquin.",
,,
Joaquin,One of my favorite scenes,
,,
,was that one where you,
,killed your father when he's sleeping.,
,,
Lito,Our Father Who Art in Hell.,
,,
Joaquin,Exactly. That one.,
,,
,"You walked up to him,",
,"cover his mouth,",
,,
,"and you say, ""No more lies.""",
,,
,And then you drag the knife,
,through his throat.,
,,
,Wow! How did you do that?,
,,
Lito,What do you mean?,
,,
,It's a prosthetic.,
,,
Joaquin,Oh.,
Lito,It's a fake neck that gets cut.,
,,
Joaquin,"Ah. I love it. Really, I love it.",
,,
,"But listen, you cannot",
,kill a man like that.,
,,
,"If you want to do it right,",
,,
,you aim here...,
,,
,for the jugular. Huh?,
,,
,"Otherwise, you have",
,"to hack through the windpipe,",
,,
,"then the neck bone, and things",
,"can get really, really, messy.",
,,
,A lot of thrashing around,
,till they drown in their own blood.,
,,
Lito,"Something of an expert, then?",
,,
Joaquin,It's more like a hobby.,
,,
,Look...,
,,
,"you know why I'm here, don't you?",
,,
,You're fucking the love of my life.,
,,
,When I heard she was seeing someone...,
,,
,and I'm gonna be,
,"really honest with you, Lito...",
,,
,"it drove me a little bit loco,",
,,
,because I couldn't stop thinking,
,of how we used to lay in bed,
,,
,and look at the selfies,
,"she took with her past lovers,",
,,
,and how we used to make fun of them.,
,,
,But it turned out to be you.,
,,
,So what could I do?,
,,
,"If I were a girl,",
,I would also love to fuck you.,
,,
,"I want to know just one thing,",
,and then you will never see me again.,
,,
,Is she happy?,
,,
Lito,Yes.,
,,
,She told me she's never been happier.,
,,
Joaquin,You did it.,
,,
,Just like I show you.,
,,
,Right for the jugular.,
,,
,But you should have used a knife.,
,,
Lito,This is under production.,
,,
,It's free.,
,You don't have to pay.,
,,
Joaquin,"Sooner or later, we all have to pay.",
,,1
Nomi,Somebody...,
,"Somebody help me, please.",
,,1
Sensei,I knew you would be back.,
,,
,This is where you belong.,
,,
,You can pretend.,
,,
,You can act the way others,
,want you to act.,
,,
,You can bury your heart.,
,,
,But I know you will always come back.,
,,
,Good.,
,,1
Metzger,"OK, put her under.",
,,
,What the hell is going on?,
,,
Nurse,The fire department is proceeding,
,,
,with a non-critical evacuation,
,of the building.,
,,
Nurse 2,Some lunatic set fire,
,to the visitors' room.,
,,
Metzger,This patient's under medical quarantine.,
,Get her back in the room.,
,,
Neets,It's gonna be OK.,
,,
,"Something is going on,",
,"I don't know what it is, but until we do,",
,,
,I will burn this building down before,
,I let anyone touch that beautiful brain.,
,,
Nomi,"Oh... Thank you, Neets.",
,,
,Thank you.,
,,
,Thank you.,
,,1
Jela,"Hey, you promised no stopping here.",
,Bad area.,
,,
Capheus,We aren't full.,
,We need the money.,
,,
,See?,
,,
,"Oh, shit!",
,,
Thug,Get out!,
,,
,"OK, motherfuckers,",
,let's do this real quick.,
,,
,"Money, wallet, and food!",
,,
Githu,"So give us the money, bitch!",
,,
,This is it?,
Capheus,We just started. It's all I've got.,
,,
Githu,"You holding out, eh?",
Capheus,No.,
,,
Githu,You better not be holding out!,
Capheus,No.,
,,
Thug,"Faster, woman, faster!",
,,
Widow,Please.,
,,
,Please don't. Please don't.,
,,
Thug,We are the Superpower!,
,We take the fuck we want!,
,,
Widow,Please.,
,,
Githu,You ain't got no dick this big.,
,,
,Check him!,
,,
Capheus,Please!,
,,
Githu,You lied to me? I'll kill you.,
Capheus,Please.,
,,
,This is medicine for my mother.,
,"I need it! I need it. She's dying, OK?",
,,
Githu,"Back off me, bitch!",
Capheus,I will drive for you.,
,,
,I'll do whatever you want!,
,,
Githu,Fucking bitch! You and your,
,whore mother can fuck off and die!,
,,
Thug,Whoo!,
,,1
Announcer,Yeah!,
,,
,Yeah! Whoo-whoo!,
,,
Fighter,What the hell is this?,
,,
Referee,There is nothing in the rules,
,about gender.,
,,
Fighter,Are you kidding me?,
,This has to be a joke.,
,,
,I'm not fighting that skinny bitch.,
,I'll kill her.,
,,
Referee,"Yeah? Then you forfeit the match,",
,and your money.,
,,
Fighter,Bullshit.,
,,
Referee,"Actually, this is a very cheap price",
,to save yourself much humiliation.,
,,
Fighter,What?,
,,
Referee,Smart money is on the skinny bitch.,
,,1
Jela,We need to keep going to the city.,
,,
Capheus,No.,
,,
Jela,What are you doing?,
,,
Capheus,I'm going to get the medicine back.,
,,
Jela,"Don't talk crazy, Capheus.",
Capheus,Anyone who doesn't want to come with me,
,,
,should get off the bus now.,
Jela,"Capheus, please.",
,,
Capheus,I don't expect you to come with me.,
Jela,We're partners.,
,,
Capheus,You have Elena. You have the kids.,
,,
Jela,I'm coming with you.,
Capheus,No.,
,,
Jela,Start the car. I'm coming with you.,
Capheus,No.,
,,
,No.,
,,
Jela,I'd follow you anywhere.,
,,
Capheus,I know. It's OK.,
,,
Widow,My husband gave me that ring,
,43 years ago.,
,,
,It's all I have left of him.,
,,
Capheus,Let's go get it.,
,,
Jela,May Jean-Claude protect you.,
,,1
Announcer,Yeah!,
,,
,Fighters...,
,,
,fight!,
,,
Thug,Aah! Fuck!,
,,
,"Go, go, go, go, go!",
,,1
Fighter,Yah!,
,,1
Thug,Fuck!,
,,
Capheus,Help me.,
,,
,"Help me, please.",
,,
Thug,I'll kill you fucking slow.,
,,
Githu,Fuck!,
,,
Sun,Aah!,
,,
,Aah!,
,,
Githu,"I'll fuck you, Van Damme.",
,,
Widow,He is Van Damme.,
,,1
Referee,Yeah! Whoo!,
,,
,Winner!,
