Abraham,"(Abraham, voice echoing) Whenever I have",
,why Papa-ji was at the temple.,
,,
Sanyam,"Since he's a non-believer,",
,I assume to see you.,
,,
,Did he tell you why?,
,,
Kala,Manendra said that...,
,he was reconsidering our marriage.,
,,
Sanyam,Ah... I see.,
,,
,So did you tell the police?,
,,
Kala,No.,
,,
Sanyam,Why not?,
Kala,Because I haven't told Rajan.,
,,
Sanyam,Because you are,
,still confused about the wedding.,
,,
Kala,More confused than ever.,
,,
Sanyam,"Well, you have to wonder,",
,"if Manendra changed his mind,",
,,
,why did he come to you,
,instead of his own son?,
,,
,Perhaps because he knew,
,his own son wouldn't listen to him.,
,,
,"This was a love marriage, after all.",
,,
,But it's possible that Rajan,
,will now have a different reaction,
,,
,if it turns out that,
,this is his father's very last wish.,
,,
,"By telling Rajan now,",
,"you will actually empower his father,",
,,
,giving him more control over Rajan's life,
,than he had while he was alive.,
,,
,(sighs) Interesting.,
,,
,The simple solution,
,would be to tell the truth...,
,,
,and let the chips fall where they may.,
,,
,But if this marriage,
,holds the possible future,
,,
,"of a long and happy life together,",
,,
,is it right to let a dominating man,
,take that away from you?,
,,
,"And yet, to not tell Rajan is to build...",
,whatever happiness you might find,
,,
,upon a secret.,
,,
,(sighs softly),
,,
,"Not an easy decision, to be sure...",
,,
,but one that I know,
,you already have the answer for.,
,,1
Jonas,Years ago... I was on your side,
,"of this conversation,",
,,
,and the man in my place,
,was the father of our cluster.,
,,
,He was telling me all sorts of bullshit,
,"about the psycellium,",
,,
,about how he could feel,
,from this present moment,
,,
,all the way back to the first breath,
,his cluster ever took.,
,,
,He was telling me,
,what it meant to be sensate.,
,,
Will,But I-- I don't understand,
,how they never found me out.,
,,
,"I've had x-rays, MRIs, blood tests...",
,,
Jonas,The differences are very subtle.,
,,
,"Understand, we are closer to humankind",
,than the bonobo is to a baboon.,
,,
,You've gotta know what you're looking for.,
,Evolution is frugal in her variation.,
,,
,One small chromosome here or there,
,and you walk on two legs instead of four.,
,,
Will,But I look the same.,
,I feel the same.,
,,
Jonas,Really?,
Will,In most ways.,
,,
Jonas,You mean when you're not,
,sharing your most private thoughts,
,,
,with someone,
,on the other side of the world?,
,,1
,(no audio from TV),
,,
Kala,You're Capheus.,
,,
,I'm Kala.,
,,
Capheus,You are beautiful.,
,,
Kala,Thank you.,
,,
,Do you mind if I...?,
Capheus,"Please, sit.",
,,
Kala,That is a very large television.,
Capheus,"Ah, yes. (chuckles)",
,,
,"Samsung SMT-4023, 42 inches.",
,,
,"Best value, color space, and resolution.",
,,
Kala,(chuckles),
,,
,Can I ask you a question?,
Capheus,Of course.,
,,
Kala,The first time I went,
,into a house like this in Bombay...,
,,
,"they had no beds,",
,but they had a television as big as this.,
,,
,"I mean, how can a TV",
,be more important than a bed?,
,,
Capheus,Ah... That's simple.,
,,
,The bed keeps you in a slum.,
,,
,The flat screen takes you out.,
,,
Kala,Ah...,
Capheus,Eh.,
,,
,(Kala chuckles),
,(no audio from TV),
,,
Kala,What are you watching?,
Capheus,Lionheart.,
,,
Kala,Never heard of it.,
Capheus,Really?,
,,
,(Kala chuckles),
,Ah!,
,,
Kala,Does it have any dancing in it?,
,,
Capheus,Jean-Claude is the Fred Astaire...,
,of martial arts.,
,,
Kala,Ah... I love Fred Astaire.,
,,
Capheus,Lionheart is the first movie that,
,made me fall in love with Jean-Claude.,
,,
,I watch it any time,
,I need to find courage.,
,,
Kala,I could use some courage right now.,
,,
,(microwave beeps),
,,1
,(crowd clapping on TV),
,(Kala groans),
,,
Van Damme,(man) Lionheart!,
,(fighter grunting),
,,
,(Kala groans),
,,
Kala,I thought you said,
,this film had dancing in it.,
,,
Capheus,This is dancing.,
,,
Kala,It's so violent.,
,,
Capheus,Life is violent.,
,,
Kala,It is.,
,,
,I didn't think so before.,
,,
Capheus,But you do now.,
,,1
Jonas,(Jonas) Watch a flock of birds,
,or a shoal of fish move as one...,
,,
,and you glimpse where we came from.,
,,
,Ask how aspen trees feel trauma,
,"hundreds of miles apart,",
,,
,or how a mushroom,
,can understand the needs of a forest...,
,,
,you'd begin to grasp what we are.,
,,
,Our kind has been here,
,since the beginning.,
,,
,"In all likelihood, we were the beginning.",
,,
,What I want... is to make sure,
,we're there at the end.,
,,
Will,But if there's another species,
,"of Homo sapien, how can it be a secret?",
,,
Jonas,Secrets are important to their species.,
,,
,Secrets are the center,
,"of their identities, of their societies.",
,,
,Secrets maintain their hierarchies.,
,,
,"To reveal this secret,",
,"that there is another kind of human,",
,,
,one whose existence threatens,
,the very fundament of their reality...,
,,
,No... they'll never allow that.,
,,
Will,"Do you have a secret, Jonas?",
,,
Jonas,"You're a good cop, aren't you?",
,,
,They're gonna try to use me to get to you,
,and the rest of your cluster.,
,,
Will,"The one who came for Nomi, Dr. Matheson?",
,,
Jonas,He uses many names.,
,,
Whispers,(man whispers) Jonas...,
Jonas,Angelica called him Whispers.,
,,
,Never look him in the eye.,
,,
,Never.,
,,
Will,Angelica.,
,,
,That's why she killed herself.,
,,
,To protect us.,
,,
Jonas,My father told me something,
,that always stayed with me.,
,,
,It's probably what kept me alive.,
,,
,"He said that what made us ""us""",
,,
,was far less important,
,"than what makes them ""them.""",
,,
,"In the end,",
,it doesn't matter who came first.,
,,
,All that matters is the fact,
,that one small chromosomal mutation,
,,
,severed them from their connection,
,"to nature, and to each other.",
,,
,That isolation has allowed them,
,to focus on the one thing they do better,
,,
,than any species in history.,
,,
,Killing is easy...,
,when you can feel nothing.,
,,1
Henchman 1,Search him.,
Henchman 2,I just did.,
,,
Steiner,Search him again!,
,,
,"He's a fucking smart guy,",
,"aren't you, Wolfie?",
,,
,"He knows all the tricks, so fucking smart.",
,,
Henchman 2,Just found that.,
,,
Steiner,Open it. Could be wired.,
,,
,Open it!,
,,
,(exhales softly),
,,
,(softly) Yeah! (laughs),
,,
,(whistles),
,,
,So fucking smart. You think Felix,
,would think you're so fucking smart now?,
,,
Wolfgang,You got what you wanted.,
,,
Steiner,I wanna know something.,
,How did you do it?,
,,
,"When I walked in, the safe was clean.",
,,
,I spent two hours cutting it open.,
,,
,Tell me... how you did it.,
,,
Wolfgang,I cracked it.,
,,
Steiner,You cracked it?,
,,
,Like... in the movies?,
,,
,Listening to the tumblers,
,with your stethoscope?,
,,
,You just cracked it?!,
,,
,"Fucking smart guy, right here!",
,,
,First guy in history,
,to fuck the pants off an S&D safe.,
,,
,Huh?,
,,
,(grunts),
,,
,Is that really,
,what you expect me to believe?,
,,
,You think I'm that fucking stupid?,
,,
,Huh?!,
,(grunts),
,,
,Oh. Is that what you think?,
,,
,"You think I'm stupid, huh?",
,,
,"Hey, Wolfie, where you going?",
,,
,You haven't answered my question yet.,
,,
,Answer my fucking question.,
,,
,You think I'm stupid?,
,That what you think? Huh?!,
,,
Wolfgang,(exhales) No.,
,,
Steiner,"Well, OK.",
,,
,First smart thing you said.,
,,
,Now... tell me the fucking truth,
,or I'll blow your smart-guy brains,
,,
,all over the fucking street!,
,,
Lito,You knew everything.,
,,
,"You knew he would hit you,",
,you knew you would fall to the ground.,
,,
,But he kicked you and drove you,
,away from the gun. You were really close.,
,,
Wolfgang,All I needed was a little space.,
,,
Lito,Why don't you just...,
,tell him something he wants to hear?,
,,
,Tell him... Tell him...,
,,
,"I don't know, just a little lie",
,that will make him relax and then we--,
,,
,we'll figure it out.,
,,
Wolfgang,I can't.,
,,
Lito,Why?,
,,
Wolfgang,He reminds me of my father.,
,,
Lito,Just a little lie.,
,,
,OK. May I?,
,,
,Do you mind?,
,,
Steiner,(Steiner) Did you hear me?!,
,,
,Tell me the fucking truth. (panting),
,,
,(screams) Tell me!,
,,
,(Steiner grunts),
,,
Lito,It was Felix. It was Felix.,
,,
,He found out... the Indian liked boys.,
,,
,"Ran into him at a club,",
,fed him some drinks.,
,,
Steiner,(Steiner giggling),
Lito,Felix got the combination from him.,
,,
Steiner,I knew it! I fucking knew it!,
,,
,Fucking Felix!,
,,
,(chuckles) I bet he sucked his cock!,
,,
,There had to be,
,some cock-sucking involved.,
,,
,"He sucked his cock, didn't he?",
,,
,(sighs),
,,
Lito,He did what he had to do.,
,,
Steiner,Ooh! Cock-sucking Felix!,
,,
,(laughing),
,,
,Look! Look at this.,
,,
,Would any of you suck cock for this?,
,,
Henchman 1,Sure.,
,,
Steiner,That's why you and cock-sucking Felix,
,"and Wolfie are all fucking idiots,",
,,
,and I'm the only one,
,with some fucking brains here!,
,,
Henchman 1,What?!,
,,
,(machine gun fire),
,,
,(machine gun fire),
,,
Steiner,You're fucking dead!,
,,
,You and your cock-sucking friend,
,are fucking dead!,
,,
,What the fuck?!,
,,
,Fuck!,
,,
,(fire crackling),
,,
Lito,Fucking hell!,
,,
,That's what I'm talking about!,
,,
,"Fucking hell, man.",
,,
,What the fuck is that?,
,,
Wolfgang,Thank you.,
,,
Lito,Lying is easy.,
,,
,It's what I do.,
,,
Wolfgang,Sometimes... you make a mistake.,
,,
,You've got two choices:,
,,
,"you live with it, or you fix it.",
,,
,(panting),
,,
,(line ringing),
,,1
Hernando,"(recording plays) Hello, this is Hernando.",
,Now you say something.,
,,
,(machine beeps),
,,
Lito,"Hernando, you might",
,never get this message.,
,,
,Your mailbox is full.,
,,
,You should really-- It doesn't matter.,
,,
,"I made a terrible mistake, my love...",
,,
,but I swear to you...,
,that I'm gonna fix it.,
,,1
Will,(Will) Hi.,
,,
Riley,Hi.,
,,
Will,You all right?,
,,
Riley,I'm here to see my father.,
,,
Will,He's playing tonight?,
Riley,Mm-hm.,
,,
Will,That's cool. It's gonna be great.,
,,
,"I'm actually seeing my dad, too.",
,,
Riley,(whispers) What is it?,
,,
Will,I saw Jonas.,
,,
,He said that it was dangerous,
,for you to be in Iceland.,
,,
Riley,Yrsa said the same thing.,
,,
Will,Will you please be careful?,
,,
Riley,"Yrsa said something else, too.",
,,
,She said that Jonas can't be trusted...,
,that he worked with BPO.,
,,
Will,(sighs) Mm...,
,,
,I don't know what's true or not.,
,,
,I just think we have to...,
,watch out for each other.,
,,
Riley,I was just thinking...,
,,
,I was thinking that...,
,I wouldn't be here if it wasn't for you.,
,,
,There was a time when...,
,,
,"that wouldn't have meant anything to me,",
,but... now it does.,
,,
,Thank you.,
,,
,(chuckles),
,,
Will,"Oh, my God. If this feels that good",
,"when we're not really here,",
,,
,what's it gonna be like when we are?,
,,1
Barista,You came back.,
,,
Lito,Yes... I did.,
,,
Barista,Can I get you something?,
,,
Lito,Double tequila.,
,,
Barista,Another?,
,,
Lito,You ask me if I want another?,
,,
,Then I want two.,
,,
,Two double tequilas.,
,,
,Tequila squared.,
,,
Barista,Four?,
Lito,Four. Yes.,
,,
,(adds two glasses),
,,
,(unscrews bottle),
,,
Barista,"Listen, if I offended you before...",
,I'm sorry.,
,,
Lito,Do not apologize.,
,,
,(sets glass down heavily),
,(pants),
,,
,The mistake was mine.,
,,
,(sets glass down),
,(sighs),
,,
,(softly) I should've told you the truth.,
,,
,This is a stolen kiss...,
,,
,because these lips belong to another.,
,,
,And even though,
,you're a very attractive man...,
,,
,and your offer,
,to do terrible things to me was...,
,,
,was effective...,
,,
,"I should've told you, ""No, thank you""...",
,,
,because I have,
,already met the love of my life...,
,,
,and his name is Hernando.,
,,
,(sighs),
,,
,(exhales sharply),
,,
,(doors close),
,,1
Gunnar,Riley! Hey! Hey!,
Musician 1,Riles!,
,,
,(chuckles),
Riley,They told me you were out here.,
,,
Musician 2,(man) Hey.,
Riley,(Riley) Hey.,
,,
Gunnar,"Oh, just getting",
,the creative juices flowing.,
,,
Riley,That's pretty cute.,
,,
Gunnar,Cute?,
,,
Riley,Getting stoned in your tuxes,
,like it's 1985.,
,,
Musician 1,"For some of us, it is 1985.",
,(Riley laughs),
,,
Riley,I don't mean it badly.,
,,
,It's what we were,
,"talking about today, Papa.",
,,
,"It's not much different in London,",
,but we don't use pot.,
,,
Gunnar,"Oh, no?",
,What do you use then?,
,,
Riley,Usually start with one of these.,
,,
Gunnar,"(Gunnar) Oh, wow. What's that?",
,,
Riley,Ecstasy.,
,,
Musician 1,Yeah.,
,,
Gunnar,All right.,
,,1
Mike,"Oh, you got the brats!",
,,
Will,"Yeah, I got the brats.",
,,
Mike,From Gene's?,
Will,"Yeah, Dad, from Gene's.",
,,
Mike,Come here. Gimme a kiss.,
,,1
,(inaudible dialogue),
,,
,(tires squealing),
,,
Joaquin,"What do you want, faggot?",
,,
Lito,I've come for my friend.,
,,
,"Come on, Dani.",
,,
Daniela,"Are you sure, Lito?",
,,
Lito,You're coming home.,
,,
Joaquin,"Where are you going, Dani? Hm?",
,,
Daniela,"I'm going with Lito, obviously.",
,,
Joaquin,This is fucking bullshit.,
,,
,She's not going anywhere with you.,
Lito,"It's over, Joaquin.",
,,
,(chuckles softly),
,,
Joaquin,"Listen, you're forgetting",
,"one little thing, faggot.",
,,
,I still have the pictures.,
,,
,If she gets in that car...,
,it's bye-bye career.,
,,
,(sighs),
Lito,Do what you want with the pictures.,
,,
,I don't care.,
,,
,Let's go home.,
,,
Daniela,Aah!,
,,
Lito,"I don't want to hurt you, Joaquin.",
,,
,(Daniela whimpers),
,,
,All right.,
,,
,We can do this easy... or we can do this--,
,,
,(Joaquin yells),
,(gasps),
,,
,(Lito groans),
,,
,(Joaquin screams),
,,
,(groaning),
,,
,(grunting),
,,
Joaquin,(Joaquin shouts),
Daniela,"Not in the face! No, no!",
,,
Lito,(Lito) Not in the face! (groans),
,,
,Not in the face.,
,,
,Aw!,
,,
,Yes! Yes!,
,,
,You like that? Huh?!,
,,
,You want more? You want more?,
Joaquin,Come on.,
,,
,That's all you got? Come on!,
,,
,(Joaquin growls),
,(Lito grunts),
,,
,(groans),
,,
Daniela,"Joaquin, Joaquin, no. No, no, no!",
,,
,Joaquin! Ahh!,
,(Joaquin grunts),
,,
Lito,(Lito shrieks),
,,
,(yells),
,(pot shatters),
,,
Joaquin,"Now you sell flowers, pussy? Huh?",
,,
,"Come on, come on!",
,(grunts),
,,
,(groans),
,,
,(both grunting),
,,
,(Joaquin panting),
,,
,(voice distant),
Daniela,"I'm sorry, I'm sorry, I'm sorry.",
,,
,(shrieks),
,,
Wolfgang,Get up.,
,,
Lito,Joaquin!,
,,
Wolfgang,We're not done.,
,,
,(Daniela whimpers),
,,
,(laughing),
,,
,(yells),
,,
,You call that a punch?,
,,
,(grunts),
,,
,"Come on, you can do better, huh?",
,I'm right here.,
,,
,Are we done? Huh? I think we're done.,
,,
,(grunts),
,,
,Fucker!,
,(groans),
,,
,(body thuds),
,,
,(panting),
,,
Lito,Thank you.,
,,
Wolfgang,Fighting is easy.,
,,
,Fighting is what I do.,
,,
Lito,"Let's go home, Dani.",
,,1
Mike,It's a perfect night.,
,I love the Fourth of July.,
,,
,It's my... It's my favorite holiday.,
,,
,"I mean, I'm here with my kid.",
,,
,"Pretty soon, they're gonna blow up shit.",
,,
,Doesn't get better than this.,
,,
,"You know, when I was a kid, I thought...",
,I thought I couldn't be a cop.,
,,
,My dad was an electrician.,
,,
,"He got out of the war, joined the union.",
,,
,"I thought... ""When I grow up,",
,"I'm gonna be an electrician.""",
,,
,"The summer I turned 15, my old man",
,takes me down to the union hall.,
,,
,He's so proud.,
,,
,I get my card... but I hated the job.,
,,
,Hated the job.,
,,
,"I kept shocking myself,",
,and his friends are all laughin' at me.,
,,
,I quit that summer.,
,,
,He was...,
,,
,"He was furious, like,",
,"""What are you gonna do with your life?""",
,,
,"I told him, ""I'm gonna be a cop.""",
,,
,The way he looked at me...,
,,
,(sighs) I'll never forget it.,
,,
,Like he didn't know who I was.,
,,
,"I'll tell you something, though.",
,,
,The day you told me,
,you wanted to be a cop...,
,,
,proudest damn day of my life.,
,,1
,(indistinct chatter),
,,
,(laughs),
,,
,(pop music playing),
,(fireworks booming),
,,
Mike,Whoo!,
,,
,Cheers!,
,,
,(moaning),
,,
,Yeah!,
,,
,(fireworks crackling),
,(Will and his father cheer),
,,
,(groans),
,,1
Neets,Aah!,
,,
,"Oh, God!",
,,
,"(panting) Oh, my...",
,,
,Now that... is what I call fireworks.,
,,
,(both laugh),
,,1
,(fireworks crackling),
,,
,Whoo!,
,,
Sun,I love fireworks.,
,,
Will,"Me, too.",
,,
Capheus,"Me, three. (laughs)",
,,
,(Capheus) Whoo!,
,,
,Whoo!,
,(fireworks crackling rapidly),
,,1
,(doorbell rings),
,,
Hernando,What happened to you?,
,,
Lito,I got in a fight.,
Hernando,What?,
,,
,A fight?,
,,
,Are you stupid? Look at your face.,
,You won't be able to shoot tomorrow.,
,,
Lito,You do still love me.,
,,
Hernando,"(grunts softly) Well, I know",
,how important your career is to you.,
,,
Lito,Can I come in?,
,,
,Please?,
,,
,(Hernando sighs),
,,
,"You were right, Hernando.",
,,
,I was a coward.,
,,
,I cared too much about things that...,
,aren't important.,
,,
,I took for granted all the things,
,you gave up in life to... be with me.,
,,
,Many of these things became clear,
,because of Daniela.,
,,
,I understand why,
,you reacted the way you did.,
,,
,I made a terrible mistake.,
,,
,But I fixed it.,
,,
,(approaching footsteps),
,,
Hernando,Dani?,
,(laughs),
,,
Daniela,(Daniela) Ay...,
,(Hernando sighs),
,,
Hernando,I-- I don't understand.,
,,
Daniela,Lito saved me! He saved me.,
,,
,"Joaquin tried to stop me from going,",
,but Lito fought him.,
,,
,It was-- It was unbelievable.,
,,
,It was like a scene,
,from one of his movies!,
,,
Hernando,And... what about the pictures?,
,,
Lito,I don't care.,
,,
,My career is important to me.,
,,
,But it will never be as important as you.,
,,
,I love you.,
,,
,(camera clicks),
,,
,(clicks),
,,
Hernando,Really?,
,,
Daniela,He said he didn't care.,
,,
Hernando,(chuckles),
,,
Lito,(softly) Can we go home... please?,
,,
Hernando,(whispers) Yes.,
Daniela,Yes! Yes! Let's go home! Mm!,
,,1
,(dramatic orchestral opening),
,,
,(up-tempo piano),
,,
,(dramatic orchestral ensemble),
,,
,(solo piano resumes),
,,
,(dramatic orchestral ensemble),
,,
,(piano resumes),
,,
,(inaudible scenes),
,(music continues),
,,
,(dramatic orchestral ensemble),
,,
,(screams from audience),
,(music ends),
